2022-02-23 23:15:55.272189 > 	Starting compilation of LCUcircZbasis
2022-02-23 23:16:02.329039 > 	Popped a node with score: 0.10117689715927403 at depth: 6
2022-02-23 23:16:02.329079 > 	Popped a node with score: 0.10117689726685919 at depth: 6
2022-02-23 23:16:02.329118 > 	Popped a node with score: 0.10117689753911485 at depth: 6
2022-02-23 23:16:02.329156 > 	Popped a node with score: 0.10593679782620125 at depth: 6
2022-02-23 23:16:02.329195 > 	Popped a node with score: 0.10976166906158469 at depth: 6
2022-02-23 23:16:03.272324 > 	New best! score: 0.05311707483923955 at depth: 7
2022-02-23 23:16:03.281372 > 	New best! score: 0.035620485694415005 at depth: 7
2022-02-23 23:16:04.362353 > 	Layer completed after 2.033050201833248 seconds
2022-02-23 23:16:04.732839 > 	Popped a node with score: 0.23330903093116884 at depth: 5
2022-02-23 23:16:04.732966 > 	Popped a node with score: 0.13474540932092705 at depth: 6
2022-02-23 23:16:04.733069 > 	Popped a node with score: 0.1351938892567669 at depth: 6
2022-02-23 23:16:04.733153 > 	Popped a node with score: 0.13519389005007232 at depth: 6
2022-02-23 23:16:04.733231 > 	Popped a node with score: 0.035620485694415005 at depth: 7
2022-02-23 23:16:04.733329 > 	Popped a node with score: 0.1356296734417114 at depth: 6
2022-02-23 23:16:04.733403 > 	Popped a node with score: 0.036412972694394474 at depth: 7
2022-02-23 23:16:04.733475 > 	Popped a node with score: 0.038698624790236114 at depth: 7
2022-02-23 23:16:04.733559 > 	Popped a node with score: 0.2394137856364269 at depth: 5
2022-02-23 23:16:04.733628 > 	Popped a node with score: 0.040787824508342396 at depth: 7
2022-02-23 23:16:04.733691 > 	Popped a node with score: 0.04098272266094771 at depth: 7
2022-02-23 23:16:04.733788 > 	Popped a node with score: 0.14174162472807073 at depth: 6
2022-02-23 23:16:04.733860 > 	Popped a node with score: 0.14174162675706836 at depth: 6
2022-02-23 23:16:04.733957 > 	Popped a node with score: 0.24211310529232533 at depth: 5
2022-02-23 23:16:04.734057 > 	Popped a node with score: 0.14298757924061223 at depth: 6
2022-02-23 23:16:04.734128 > 	Popped a node with score: 0.14325543924397044 at depth: 6
2022-02-23 23:16:04.734208 > 	Popped a node with score: 0.045739954276293404 at depth: 7
2022-02-23 23:16:04.734288 > 	Popped a node with score: 0.04609285669645047 at depth: 7
2022-02-23 23:16:04.734727 > 	Popped a node with score: 0.24896490186943965 at depth: 5
2022-02-23 23:16:04.734770 > 	Popped a node with score: 0.05158528551974639 at depth: 7
2022-02-23 23:16:04.734808 > 	Popped a node with score: 0.051585285664085934 at depth: 7
2022-02-23 23:16:04.734846 > 	Popped a node with score: 0.05158528651982519 at depth: 7
2022-02-23 23:16:04.734885 > 	Popped a node with score: 0.05311707483923955 at depth: 7
2022-02-23 23:16:04.734924 > 	Popped a node with score: 0.054623486391324416 at depth: 7
2022-02-23 23:16:04.734970 > 	Popped a node with score: 0.05485306918010302 at depth: 7
2022-02-23 23:16:04.735010 > 	Popped a node with score: 0.05485306984863492 at depth: 7
2022-02-23 23:16:04.735047 > 	Popped a node with score: 0.054853070631133316 at depth: 7
2022-02-23 23:16:04.735085 > 	Popped a node with score: 0.15511538786408674 at depth: 6
2022-02-23 23:16:05.382762 > 	New best! score: 4.440892098500626e-16 at depth: 8
2022-02-23 23:16:05.454729 > 	New best! score: 2.220446049250313e-16 at depth: 8
2022-02-23 23:16:05.461248 > 	New best! score: 0.0 at depth: 8
2022-02-23 23:16:07.744657 > 	Layer completed after 3.0091403611004353 seconds
2022-02-23 23:16:07.832946 > 	Finished compilation at depth 8 with score 0.0 after 12.56040695682168 seconds.
2022-02-23 23:16:07.835056 > 	Finished compilation of LCUcircZbasis
2022-02-23 23:16:07.835950 > 	Recorded results from compilation.
2022-02-23 23:16:07.836273 > 	Deleted checkpoint file.
