2022-02-23 23:08:40.855635 > 	Starting compilation of Phi01
2022-02-23 23:08:54.596289 > 	Popped a node with score: 0.23602360577175385 at depth: 5
2022-02-23 23:08:54.596352 > 	Popped a node with score: 0.03641297256791787 at depth: 7
2022-02-23 23:08:54.596411 > 	Popped a node with score: 0.03641297282271849 at depth: 7
2022-02-23 23:08:54.596469 > 	Popped a node with score: 0.14174162507427424 at depth: 6
2022-02-23 23:08:54.596524 > 	Popped a node with score: 0.14174162533201984 at depth: 6
2022-02-23 23:08:54.596581 > 	Popped a node with score: 0.04238808916648462 at depth: 7
2022-02-23 23:08:54.596636 > 	Popped a node with score: 0.14298757742966195 at depth: 6
2022-02-23 23:08:54.596692 > 	Popped a node with score: 0.14298758165228875 at depth: 6
2022-02-23 23:08:54.596748 > 	Popped a node with score: 0.1429875833278289 at depth: 6
2022-02-23 23:08:54.596803 > 	Popped a node with score: 0.14322632558124915 at depth: 6
2022-02-23 23:08:54.596857 > 	Popped a node with score: 0.14335895367727514 at depth: 6
2022-02-23 23:08:54.596913 > 	Popped a node with score: 0.14850164417576783 at depth: 6
2022-02-23 23:08:54.596985 > 	Popped a node with score: 0.15154511794260817 at depth: 6
2022-02-23 23:08:54.597044 > 	Popped a node with score: 0.054853068834848195 at depth: 7
2022-02-23 23:08:54.597100 > 	Popped a node with score: 0.05485306887185082 at depth: 7
2022-02-23 23:08:54.597156 > 	Popped a node with score: 0.054853069127549614 at depth: 7
2022-02-23 23:08:54.597211 > 	Popped a node with score: 0.05485306914659194 at depth: 7
2022-02-23 23:08:54.597267 > 	Popped a node with score: 0.05485306927238587 at depth: 7
2022-02-23 23:08:54.597321 > 	Popped a node with score: 0.05485306927611244 at depth: 7
2022-02-23 23:08:54.597376 > 	Popped a node with score: 0.054853069416026856 at depth: 7
2022-02-23 23:08:54.597430 > 	Popped a node with score: 0.05485306962640135 at depth: 7
2022-02-23 23:08:54.597485 > 	Popped a node with score: 0.05485306988454153 at depth: 7
2022-02-23 23:08:54.597550 > 	Popped a node with score: 0.05485306993336048 at depth: 7
2022-02-23 23:08:54.597607 > 	Popped a node with score: 0.05485307001774109 at depth: 7
2022-02-23 23:08:54.597661 > 	Popped a node with score: 0.0548530703848511 at depth: 7
2022-02-23 23:08:55.258467 > 	New best! score: 0.0 at depth: 8
2022-02-23 23:08:57.170082 > 	Layer completed after 2.572291422635317 seconds
2022-02-23 23:08:57.256633 > 	Finished compilation at depth 8 with score 0.0 after 16.400685109198093 seconds.
2022-02-23 23:08:57.257831 > 	Finished compilation of Phi01
2022-02-23 23:08:57.258458 > 	Recorded results from compilation.
2022-02-23 23:08:57.258675 > 	Deleted checkpoint file.
