2022-02-24 15:51:13.872054 > 	PauliZ011	Complete!
2022-02-24 15:51:13.872107 > 	PauliX011	Complete!
2022-02-24 15:51:13.872159 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.872210 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.872268 > 	PauliZ111	Complete!
2022-02-24 15:51:13.872327 > 	PauliX111	Complete!
2022-02-24 15:51:13.872546 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.920771 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.920843 > 	Phi01	Complete!
2022-02-24 15:51:13.920887 > 	PauliZ000	Complete!
2022-02-24 15:51:13.920927 > 	PauliX000	Complete!
2022-02-24 15:51:13.920964 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.920999 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.921035 > 	PauliZ100	Complete!
2022-02-24 15:51:13.921071 > 	PauliX100	Complete!
2022-02-24 15:51:13.921106 > 	PauliZ001	Complete!
2022-02-24 15:51:13.921142 > 	PauliX001	Complete!
2022-02-24 15:51:13.921177 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.921212 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.921247 > 	PauliZ101	Complete!
2022-02-24 15:51:13.921282 > 	PauliX101	Complete!
2022-02-24 15:51:13.921316 > 	PauliZ011	Complete!
2022-02-24 15:51:13.921351 > 	PauliX011	Complete!
2022-02-24 15:51:13.921389 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.921424 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.921459 > 	PauliZ111	Complete!
2022-02-24 15:51:13.921494 > 	PauliX111	Complete!
2022-02-24 15:51:13.921563 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.921729 > 	Phi01	Complete!
2022-02-24 15:51:13.921788 > 	PauliZ000	Complete!
2022-02-24 15:51:13.921848 > 	PauliX000	Complete!
2022-02-24 15:51:13.921909 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.921971 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.922027 > 	PauliZ100	Complete!
2022-02-24 15:51:13.922085 > 	PauliX100	Complete!
2022-02-24 15:51:13.922145 > 	PauliZ001	Complete!
2022-02-24 15:51:13.922205 > 	PauliX001	Complete!
2022-02-24 15:51:13.922265 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.922326 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.922387 > 	PauliZ101	Complete!
2022-02-24 15:51:13.922448 > 	PauliX101	Complete!
2022-02-24 15:51:13.922509 > 	PauliZ011	Complete!
2022-02-24 15:51:13.922569 > 	PauliX011	Complete!
2022-02-24 15:51:13.922630 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.922689 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.922745 > 	PauliZ111	Complete!
2022-02-24 15:51:13.922801 > 	PauliX111	Complete!
2022-02-24 15:51:13.923047 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.055935 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.056048 > 	Phi01	Complete!
2022-02-24 15:51:14.056106 > 	PauliZ000	Complete!
2022-02-24 15:51:14.056157 > 	PauliX000	Complete!
2022-02-24 15:51:14.056204 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.056323 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.056371 > 	PauliZ100	Complete!
2022-02-24 15:51:14.056417 > 	PauliX100	Complete!
2022-02-24 15:51:14.056463 > 	PauliZ001	Complete!
2022-02-24 15:51:14.056509 > 	PauliX001	Complete!
2022-02-24 15:51:14.056555 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.056600 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.056645 > 	PauliZ101	Complete!
2022-02-24 15:51:14.056691 > 	PauliX101	Complete!
2022-02-24 15:51:14.056736 > 	PauliZ011	Complete!
2022-02-24 15:51:14.056781 > 	PauliX011	Complete!
2022-02-24 15:51:14.056826 > 	PauliX0X111	Complete!
2022-02-24 15:51:14.056870 > 	PauliY0Y111	Complete!
2022-02-24 15:51:14.056915 > 	PauliZ111	Complete!
2022-02-24 15:51:14.056960 > 	PauliX111	Complete!
2022-02-24 15:51:14.057057 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:14.057269 > 	Phi01	Complete!
2022-02-24 15:51:14.057343 > 	PauliZ000	Complete!
2022-02-24 15:51:14.057402 > 	PauliX000	Complete!
2022-02-24 15:51:14.057451 > 	PauliX0X100	Complete!
2022-02-24 15:51:14.057498 > 	PauliY0Y100	Complete!
2022-02-24 15:51:14.057554 > 	PauliZ100	Complete!
2022-02-24 15:51:14.057611 > 	PauliX100	Complete!
2022-02-24 15:51:14.057667 > 	PauliZ001	Complete!
2022-02-24 15:51:14.057717 > 	PauliX001	Complete!
2022-02-24 15:51:14.057775 > 	PauliX0X101	Complete!
2022-02-24 15:51:14.057831 > 	PauliY0Y101	Complete!
2022-02-24 15:51:14.057885 > 	PauliZ101	Complete!
2022-02-24 15:51:14.057934 > 	PauliX101	Complete!
2022-02-24 15:51:14.057988 > 	PauliZ011	Complete!
